User_ID,Device_Type,Network_Type,Region
-7703239401251543185,Smartphone,4G,Rural
7269322217679596301,PC,5G,Suburban
4951683964339633886,Tablet,Medios sociales,Rural
-3676581208418457383,Tablet,5G,Rural
-6976382395500303353,Tablet,Wi-Fi,Suburban
8662668152383240823,Smartphone,4G,Urban
-916473329390731387,Tablet,Wi-Fi,Rural
-6549158485244105085,Smartphone,5G,Urban
-402497811950576725,Smartphone,Wi-Fi,Suburban
-5121985407493701656,PC,5G,Rural
4153455510625195833,Smartphone,Wi-Fi,Achats
-7957246338600541652,Smartphone,4G,Rural
-38258546520142372,PC,5G,Suburban
-4815185172818050465,PC,This is free text for Network_Type,Suburban
7406398191233389678,Smartphone,5G,Suburban
1427570198693008052,Tablet,5G,Suburban
9137170169926832458,Tablet,Wi-Fi,Rural
-7899479234684043816,Smartphone,4G,Suburban
-5809148202384425340,Smartphone,5G,Urban
7528576535235200373,PC,4G,Urban
4588948367604769823,PC,4G,Suburban
2247130410569134074,PC,Wi-Fi,Suburban
-8123601388527466604,PC,Wi-Fi,Rural
-7376543994269082903,Tablet,4G,Suburban
-7848170646350573896,Tablet,Wi-Fi,Rural
-3365075789580950894,Tablet,4G,Urban
-5585927585577702015,Smartphone,5G,Suburban
-5780880180870600671,Tablet,4G,Urban
-7448889674722196154,PC,Wi-Fi,Rural
-3164745166319057286,Smartphone,Wi-Fi,Suburban
-4025711227340723883,Tablet,Wi-Fi,Urban
-6733881620318906861,Smartphone,Wi-Fi,Suburban
-1183808033808879706,PC,Wi-Fi,Suburban
-5278391432935733177,PC,This is free text for Network_Type,Urban
-7568177684461341052,PC,5G,Rural
-2979016229886665659,PC,5G,Rural
267290718731947998,PC,Wi-Fi,Rural
5653871115264626887,Smartphone,5G,Urban
-1144308029306652918,Smartphone,4G,Suburban
3524805060353312854,PC,4G,Urban
411853186843749332,Smartphone,4G,Rural
-4805387507446732885,PC,Wi-Fi,Urban
-560608126075655708,device-123,4G,Urban
-125710072003203043,device-123,Wi-Fi,Suburban
-8120870695561050730,Smartphone,Wi-Fi,Urban
7293419522860293802,Smartphone,Wi-Fi,Suburban
-2562018851864959702,Tablet,4G,Rural
8887544449932902072,PC,4G,Urban
5309129831857368683,PC,5G,Rural
-7513393352775550881,PC,4G,Urban
1704160352299918410,PC,4G,Urban
-3727760120064421282,Tablet,4G,Rural
132534012187475827,Smartphone,5G,Urban
5044542099093647638,Tablet,5G,Suburban
-6884960875965212876,Smartphone,5G,Suburban
8988848276235684787,Tablet,Wi-Fi,Rural
180549652730013250,Tablet,5G,Urban
1293532554861515811,Jeux,Wi-Fi,Suburban
7182953917545577372,Tablet,5G,Rural
-5963861023223200858,PC,4G,Rural
-1763072284928756773,Tablet,Wi-Fi,Suburban
3735573660085999284,Tablet,5G,Rural
-5100769421220704944,Smartphone,Wi-Fi,Suburban
525385601026162789,Smartphone,Wi-Fi,Rural
4783133217447474338,,Wi-Fi,
-7060839800575185389,device-123,4G,Suburban
-7213032991370782016,PC,4G,Suburban
7307078534593842523,Tablet,4G,Urban
7933404992956538722,Smartphone,Wi-Fi,Urban
-2273456124325870239,Smartphone,4G,Rural
9172701426593080573,Smartphone,5G,Rural
7663928825162015852,PC,5G,Rural
3456835213019881369,device-123,5G,Medios sociales
5643578727733163224,,5G,
-8925814490628260655,Smartphone,4G,Urban
2620372969678267975,PC,5G,Suburban
7799023557056003990,Smartphone,Wi-Fi,Urban
-8349524076113720270,PC,5G,Suburban
918311164997595081,Tablet,4G,Achats
-4101903030231752357,Tablet,Wi-Fi,Suburban
-7029966270462392788,PC,4G,Rural
6780700457190674460,PC,Wi-Fi,Urban
-4599348944426761360,Tablet,4G,Rural
4666431823301487059,Tablet,5G,Urban
1094510769441072923,Tablet,4G,Rural
-8049526310868183507,Smartphone,5G,Urban
-8193908000310451015,Tablet,Wi-Fi,Suburban
7449568758117438898,Tablet,Wi-Fi,Rural
2427708885625993785,PC,4G,Rural
3224770984648249382,Smartphone,4G,Rural
3338631495171780810,Smartphone,4G,Suburban
-519970309413513761,PC,4G,Urban
-3678301320558997070,device-123,5G,Rural
8041925275389864530,Tablet,4G,Suburban
7194037679679991208,Tablet,5G,Urban
8056254938775094449,PC,Wi-Fi,Suburban
291377836315219763,Tablet,4G,Suburban
3356254629544706059,Smartphone,Medios sociales,Urban
1505493300428592936,This is free text for Device_Type,Wi-Fi,Suburban
-1470590842259283251,Smartphone,Wi-Fi,Suburban
-7746490131319710938,PC,Wi-Fi,Suburban
-3659895265032624770,Tablet,Wi-Fi,Urban
-8106521010294690900,PC,Wi-Fi,Urban
6089621114727639102,Tablet,5G,Urban
7915353637683055804,Smartphone,Wi-Fi,Urban
-2348255803397214803,device-123,4G,Rural
-3712128777466919870,PC,Wi-Fi,Suburban
8832271676685892263,Tablet,Wi-Fi,Rural
-3601579281644184162,Smartphone,5G,Urban
-1179154521118372181,Tablet,4G,Suburban
1255472575221569379,Tablet,Wi-Fi,Jeux
-6287126892327165803,Tablet,Wi-Fi,Rural
7262465161195433525,Smartphone,4G,Rural
-3262613013468510597,PC,5G,Rural
-3850587494206244402,Tablet,Wi-Fi,Suburban
-8456192418535722757,Smartphone,5G,Rural
-5654791085605648234,Smartphone,4G,Suburban
847400474623737529,Tablet,5G,Suburban
4104376846405677730,PC,4G,Rural
3490635325198526130,Smartphone,5G,Urban
-2196333887670316881,Smartphone,4G,Rural
-3323712641355644152,Smartphone,5G,Suburban
-6224592384088858668,Tablet,Wi-Fi,Rural
-1216934006123825456,Smartphone,4G,Suburban
-1911007395697358694,PC,Wi-Fi,Rural
-8543784751326521474,PC,5G,Urban
-6725849595634409343,Smartphone,Wi-Fi,Rural
-7859063026380042737,Tablet,4G,Urban
-6204895610166549967,Smartphone,Wi-Fi,Urban
6069952518367771505,Tablet,5G,Suburban
-7538168271544817069,PC,4G,Suburban
-8027237612208328254,Smartphone,Wi-Fi,Urban
-2777313926175946955,PC,4G,Urban
8044418137465776108,Smartphone,Wi-Fi,Rural
8740031588107620642,Smartphone,Wi-Fi,Rural
-4732725768435102739,Tablet,5G,Rural
-130457899386152119,PC,4G,Rural
3582951562690401169,PC,5G,Rural
6909683926685953905,Tablet,Wi-Fi,Rural
2507807823701417261,PC,Wi-Fi,Suburban
-3998312129595847422,Tablet,4G,Rural
5594469852082191044,PC,Wi-Fi,Urban
-4117682895221806067,Smartphone,Wi-Fi,Rural
1654878844145093901,Tablet,Wi-Fi,Rural
7237848257112213712,,4G,
-7366639952991381318,Smartphone,Wi-Fi,Urban
-7434474914959516511,PC,5G,Suburban
239302601301679642,PC,Wi-Fi,Suburban
990750569747603536,PC,Wi-Fi,Suburban
-125710072003203043,Smartphone,4G,Rural
5205968338218186056,PC,4G,Rural
7486597038763841258,PC,5G,Rural
4775724825571922746,Smartphone,Wi-Fi,Suburban
-6458970577037172340,PC,4G,Rural
-4152558183035993982,Tablet,Wi-Fi,Rural
8288261236677937517,PC,4G,Urban
-5062983427665672950,device-123,Wi-Fi,Urban
665066964820150712,Tablet,5G,Rural
8477414102447387985,Tablet,5G,Urban
-6587935301638323083,Tablet,Wi-Fi,This is free text for Region
-7623762746037067677,Tablet,5G,Suburban
-985882920599098950,Smartphone,4G,Suburban
7516931476095292306,Smartphone,5G,Rural
-4360053219850093720,Tablet,4G,Suburban
-125710072003203043,Tablet,4G,Urban
1844398887518425512,PC,5G,Rural
2460304113901810950,,5G,
4179942693393624011,PC,Wi-Fi,Urban
8680103231445797941,Tablet,Wi-Fi,Urban
5663845773088838184,Tablet,5G,Suburban
-2549796090349477602,Smartphone,Wi-Fi,Urban
-8372085307369503229,PC,Wi-Fi,Rural
-690561375901541843,Tablet,Wi-Fi,Urban
-454799050787593985,PC,4G,Rural
-895182012614058341,Tablet,5G,Rural
-514769048824768362,Smartphone,Wi-Fi,Urban
5584311811867325649,Tablet,Wi-Fi,Rural
-1758705413350230922,Tablet,Wi-Fi,Suburban
8507525596625292131,Tablet,5G,Rural
-8920058846687838615,Tablet,Wi-Fi,Urban
-4048119003136880036,Tablet,5G,Rural
-8300056098689966879,PC,Wi-Fi,Rural
1026828146538844369,Tablet,4G,Suburban
8987527069027135858,Smartphone,4G,Urban
5351052607662750996,Tablet,This is free text for Network_Type,Urban
6471937769070430980,Smartphone,4G,Urban
-1534536466790797923,device-123,4G,Urban
-1475260217026496410,Smartphone,4G,Urban
7376521506828256602,Tablet,5G,Rural
-9051806662376894906,PC,5G,Suburban
-4832570839907620911,Smartphone,5G,Rural
507278453267791314,Smartphone,5G,Suburban
6182554100126274812,device-123,Wi-Fi,Suburban
5213533751827691558,,5G,
-4751497530712307525,Smartphone,5G,Urban
-2616239461355495875,PC,5G,Urban
-1377776767345207892,Smartphone,4G,Suburban
-1576467664118775175,Tablet,Wi-Fi,Urban
7944455523846015452,,5G,
3343513889877875756,PC,Wi-Fi,Streaming
-2592776637832577642,Tablet,4G,Suburban
6441410114725195607,Smartphone,5G,Suburban
-272446780221781426,Smartphone,Wi-Fi,Rural
949841754236450134,PC,4G,Rural
4486631609508487184,Tablet,Wi-Fi,Rural
1272320762281358197,PC,Wi-Fi,Suburban
4996341344605349369,Tablet,5G,Suburban
5882250495290607458,PC,4G,Rural
-3915820510671599513,PC,4G,Rural
3756522490804344158,PC,5G,Suburban
6029513859954950260,Smartphone,4G,Rural
-3443853406405919178,Tablet,Wi-Fi,Suburban
8080919052170070607,Smartphone,4G,Rural
-445625318009189913,PC,4G,Rural
-1852508113913808161,Tablet,Wi-Fi,Rural
-1282381358212114573,PC,Wi-Fi,Rural
6972824714063658929,Smartphone,Wi-Fi,Rural
-7757296235741019620,Tablet,5G,Urban
-3396352151816531429,,Wi-Fi,
6858310543884178744,Tablet,5G,Urban
5535604830909920788,,5G,
5227570636256667848,Tablet,5G,Suburban
-2198949401590748635,device-123,4G,Urban
5330490859316881537,Tablet,5G,Suburban
-623132853623380801,Smartphone,5G,Suburban
6549768253070668350,device-123,Wi-Fi,Suburban
8345404241301401612,PC,Wi-Fi,Suburban
-4820230949053461918,PC,4G,Rural
-484307315699120444,Tablet,Wi-Fi,Rural
-6374782714854775568,Tablet,4G,Suburban
462796777034521688,Smartphone,5G,Urban
-2012691210946653649,Smartphone,Wi-Fi,Urban
4879646979374008214,PC,Wi-Fi,Rural
-4461042036267478382,Smartphone,5G,Urban
-2859191733815336426,Tablet,5G,Suburban
1295212572486655795,Tablet,5G,Rural
831375027851101760,PC,Wi-Fi,Rural
1861840628064318285,Tablet,5G,Urban
4238450795897823016,Smartphone,Wi-Fi,Urban
-1713755248915616717,Smartphone,5G,Urban
-2648196895695490970,PC,5G,Suburban
8767566202996169036,Smartphone,4G,Suburban
8595336938645008210,Tablet,5G,Urban
5641798978201993352,Tablet,Wi-Fi,Rural
7539704192070632425,,5G,
-3641145816573823193,PC,Wi-Fi,Rural
291377836315219763,device-123,Wi-Fi,Suburban
1232660323078854506,PC,5G,Suburban
2995433997389642836,Smartphone,Wi-Fi,Rural
-2409560138369257109,Tablet,4G,Suburban
6614446452683998928,PC,Wi-Fi,Rural
2001068233884154572,Tablet,Wi-Fi,Suburban
-3465657573662643172,Smartphone,Wi-Fi,Rural
6242490591914545187,,Wi-Fi,
5836875790827890833,PC,4G,Suburban
-1436046440750150533,Smartphone,4G,Suburban
3482576307685727909,PC,4G,Achats
8633070417313083716,device-123,4G,Urban
2813587741624582629,PC,4G,Suburban
-6982560000485644682,Tablet,4G,Suburban
6755433280795619084,Smartphone,4G,Rural
1766460449296777297,Smartphone,4G,Urban
4385977306764749031,Tablet,Wi-Fi,Streaming
8772770156714791789,Smartphone,4G,Rural
1025856796818621302,Smartphone,5G,Suburban
965851772907387947,PC,4G,Suburban
-3306167684875163898,Smartphone,This is free text for Network_Type,Urban
7125794093793402709,Tablet,5G,Urban
-8259670920009320102,Tablet,4G,Suburban
3752259177661869433,PC,Streaming,Rural
-7972140765158923951,Tablet,4G,Urban
-7178837219560152772,Smartphone,4G,Rural
-441935299775241322,Streaming,5G,Rural
3129470944052249515,Tablet,Wi-Fi,Suburban
-7498772277141458509,device-123,Wi-Fi,Urban
6965640967254127029,Smartphone,4G,Urban
4200506931275952198,Smartphone,5G,Urban
-5039848326086061788,Tablet,5G,Suburban
6738209800654550567,Smartphone,5G,Urban
-1768174850398008797,Smartphone,4G,Suburban
2183321145104073062,PC,Wi-Fi,Rural
-7881833059462168131,PC,4G,Rural
291377836315219763,PC,Wi-Fi,Suburban
8577581384375042534,Achats,4G,Suburban
291377836315219763,Smartphone,Wi-Fi,This is free text for Region
7742339931269753551,Tablet,4G,Rural
8503164166850080159,PC,5G,Suburban
-6110381023856073779,Tablet,Wi-Fi,Urban
2258440461886508953,Tablet,4G,Urban
-2198268573808216731,Tablet,Wi-Fi,Urban
-3698364206331251135,PC,Wi-Fi,Rural
-2426145868828730290,Smartphone,Wi-Fi,Urban
7258332892582993345,PC,Wi-Fi,Rural
6871009234314337316,Smartphone,5G,Suburban
-4945358947391949290,PC,4G,Suburban
-2647531364231298554,Smartphone,4G,Suburban
4451995313713940597,Tablet,4G,Urban
-8045556990439609660,PC,Wi-Fi,Rural
-321839599427521138,Medios sociales,5G,Urban
291377836315219763,PC,Wi-Fi,Suburban
701902211651165398,Smartphone,5G,Rural
3899367339045008746,Tablet,4G,Suburban
3049231371760199400,Smartphone,Wi-Fi,Suburban
1416639883361017657,Tablet,Wi-Fi,Urban
7064447843372427646,PC,Wi-Fi,Suburban
-7855160187070500788,PC,5G,Suburban
-419144381987778692,PC,4G,Suburban
-6961850007878474973,PC,4G,Rural
7050373904725465339,Smartphone,Wi-Fi,Suburban
8382445832659206532,PC,4G,Rural
-8102471503994885901,PC,4G,Suburban
-2259191689733090404,PC,Wi-Fi,Urban
7510714795812098258,Tablet,5G,Rural
-6310815369575958018,Smartphone,5G,Rural
-6430732642854030317,Tablet,Wi-Fi,Suburban
-2738444593365613804,Tablet,4G,Urban
-1505653836306533014,device-123,4G,Rural
3719693466504871585,Tablet,Wi-Fi,Urban
2080365944512408457,PC,Wi-Fi,Suburban
-2049185472849366662,Smartphone,4G,Rural
7094782136432567404,Tablet,5G,Rural
4551324344913798666,This is free text for Device_Type,4G,Urban
8175956611382220347,Smartphone,4G,Urban
4654278373322938297,PC,4G,Suburban
-3319128407228059600,Tablet,Wi-Fi,Urban
2967536656646982030,PC,5G,Rural
-4667607670408764842,Tablet,5G,Suburban
-2970858900615717982,Smartphone,4G,Urban
-4535715949530839159,PC,Wi-Fi,Suburban
6494321964176349268,Tablet,Wi-Fi,Suburban
-3793647616290266617,Tablet,4G,Suburban
7216945513192801475,Smartphone,5G,Urban
1882380036246253567,PC,Wi-Fi,Suburban
-3825471117855360136,Tablet,5G,Suburban
-7998069364838489717,PC,5G,Suburban
-7672449933939489660,Tablet,4G,Rural
-626706573785712682,Smartphone,5G,Urban
5965844846690472515,Smartphone,4G,Suburban
5346001452322796684,Smartphone,Wi-Fi,Urban
2604842293676119593,Tablet,5G,Suburban
-7581107159680198592,Tablet,4G,Rural
698207761499674466,Smartphone,Wi-Fi,Urban
4967651370362367614,PC,4G,Suburban
-3414780183162977242,Tablet,Wi-Fi,Urban
-3393406609200754623,Smartphone,4G,Urban
-5728739779823069245,Smartphone,Wi-Fi,Suburban
5453531312408621294,Smartphone,Wi-Fi,Rural
-1931327347195365361,PC,5G,Medios sociales
-758934886919263232,PC,Wi-Fi,Urban
-818666708296940790,Smartphone,4G,Urban
5319982829766229184,Smartphone,Wi-Fi,Suburban
4825646399852970746,PC,5G,Suburban
-4687415674325233688,Smartphone,4G,Rural
-3525231492714747163,Smartphone,Wi-Fi,Suburban
3735792609505852915,PC,5G,Urban
-6461699446103805129,PC,4G,Urban
-5347424815255590680,Smartphone,Wi-Fi,Suburban
-3292625342542613921,Tablet,4G,Urban
-8273505251658913020,PC,5G,Urban
-4431296564113035041,Tablet,4G,Suburban
-5913057729558189324,PC,4G,Suburban
4594199744274398953,PC,4G,Rural
-7132968696593616078,Smartphone,5G,Rural
1230502724647768298,Smartphone,5G,Urban
-2584291308411720765,Tablet,4G,Suburban
3138137933824659443,Tablet,4G,Rural
4005643554460691933,Smartphone,Wi-Fi,Suburban
6050802310624140699,Smartphone,5G,Rural
-3347935825729541316,Tablet,Wi-Fi,Urban
6132893883278413285,PC,4G,Suburban
581967144555243677,Tablet,Streaming,Urban
3578958442545609489,Smartphone,4G,Urban
-699041387235323896,Tablet,Wi-Fi,Urban
-3815521282193963961,Tablet,4G,Urban
-6132966028689278517,PC,4G,Urban
495047953847457568,Smartphone,4G,Suburban
2024674976843192747,Tablet,5G,Suburban
1668616802334967341,device-123,Wi-Fi,Suburban
-7749046960672926960,PC,Wi-Fi,Urban
-8780954953685491117,Smartphone,4G,Urban
-6762877571891816045,Smartphone,Wi-Fi,Urban
-2486029897236742938,Smartphone,Wi-Fi,Suburban
-3700776190553925258,Smartphone,5G,Suburban
-5266358348438161804,Smartphone,4G,Rural
291377836315219763,Tablet,5G,Rural
-1232853342963846055,PC,5G,Suburban
-3006503310717503337,Smartphone,4G,Urban
1337080504647945914,Tablet,4G,Urban
3045694272096897900,PC,5G,Urban
-7782105930487942533,Smartphone,4G,Rural
8699482803086555118,Smartphone,This is free text for Network_Type,Rural
1422904252548424421,Tablet,4G,Rural
258792220887175122,Smartphone,4G,Suburban
-4567977081883137915,Tablet,4G,Suburban
-7837540727158017254,Tablet,Wi-Fi,Suburban
-5769302928533824522,PC,Wi-Fi,Suburban
6651745098581043429,Smartphone,4G,Rural
7547046304642615744,Smartphone,4G,This is free text for Region
-2803897277157557175,PC,4G,Rural
4768179303181951328,,5G,
-8681989254881724855,PC,Wi-Fi,Rural
6396680471201777874,Tablet,4G,Rural
3743734274668578360,PC,5G,Urban
-2043263948561655532,Tablet,5G,Urban
7678984840173949418,PC,5G,Rural
-5222849147617000008,Smartphone,4G,Medios sociales
-1650628404990893661,Smartphone,Wi-Fi,Urban
-1022831806211035642,Smartphone,4G,Rural
-224242018296135975,Tablet,Wi-Fi,Rural
2877953180129434857,PC,5G,Urban
-1645500498769472454,PC,Wi-Fi,Urban
-4449870149199077862,Tablet,Wi-Fi,Rural
-4014385668905328398,PC,5G,Urban
1859226549766434894,,4G,
-152702244937280336,PC,5G,Urban
-1658328939539128600,Smartphone,Wi-Fi,Suburban
-4896226162637511859,Tablet,4G,Suburban
2137687843238577534,PC,4G,Suburban
-304882644255511130,Tablet,4G,Urban
737273135476673940,Tablet,4G,Suburban
-7390463036918156089,device-123,Wi-Fi,Suburban
291377836315219763,This is free text for Device_Type,4G,Rural
8217662194924765567,PC,Wi-Fi,Rural
-7450335816073838883,PC,Wi-Fi,Suburban
8145838261975515974,device-123,4G,Suburban
8928665806946197961,Tablet,5G,Rural
5552688789414623621,Tablet,4G,Rural
-5312055530731055488,PC,Wi-Fi,Rural
2573688455515388638,PC,4G,Rural
-660809212636554106,Tablet,4G,Urban
8527574667074141122,Tablet,4G,Rural
-1817694146946554939,Tablet,This is free text for Network_Type,Suburban
5646066516928225378,Streaming,5G,Suburban
8872970863484021,Tablet,5G,Rural
-5892324153335848806,PC,4G,Suburban
8268835516153875357,device-123,5G,Suburban
4585874527478411618,This is free text for Device_Type,Wi-Fi,Urban
-2657948348906955047,device-123,5G,Urban
-6557652813955541769,PC,This is free text for Network_Type,Rural
-2847385355024225688,Tablet,4G,Urban
2831068480468258165,PC,5G,Suburban
-4894882469864977521,Tablet,5G,Urban
4522265832024837187,device-123,4G,This is free text for Region
8329127692210727545,PC,5G,Urban
-6374027478967188816,Smartphone,Wi-Fi,Suburban
5270806387966567128,PC,4G,Urban
291377836315219763,Smartphone,4G,Suburban
7842833046942718771,Smartphone,5G,Rural
-6768127741466986011,Tablet,5G,Urban
6340148627800242629,PC,Wi-Fi,Urban
7807717178432200007,Smartphone,4G,Urban
8068633191260854901,PC,Wi-Fi,Rural
1592772673680849489,device-123,5G,Rural
6414421525531849418,Achats,4G,Urban
6134586778668573181,PC,5G,Suburban
7001091328338218116,Tablet,5G,Rural
-8508444006348164703,device-123,5G,Urban
4060638227374618569,Tablet,Wi-Fi,Suburban
-5490642074254028451,PC,5G,Suburban
685934991859114046,Tablet,Wi-Fi,Rural
-7091718478953552013,,Wi-Fi,
-4818351953690205764,PC,4G,Urban
2244664850964069564,Smartphone,4G,Rural
140175330456677706,Smartphone,Wi-Fi,Rural
43003208982747871,PC,5G,Urban
1330494584657402168,PC,Wi-Fi,Suburban
-1790385119351610156,Tablet,5G,Urban
-4135924318018367979,Tablet,Wi-Fi,Suburban
-2428033356135625830,Tablet,Wi-Fi,Rural
-3532115116714873107,Tablet,Wi-Fi,Urban
2237337361384310406,Smartphone,Wi-Fi,Rural
-5067294468277302141,PC,4G,This is free text for Region
8736830012245521860,Tablet,4G,Rural
6943006127056526050,Smartphone,Wi-Fi,Urban
-2883629148374884589,PC,5G,Suburban
-1577240661755828563,Tablet,Wi-Fi,Rural
5535364875311742344,Smartphone,5G,Jeux
1160514608393193330,Tablet,4G,Urban
-3513009181160515143,Tablet,5G,Rural
-7197091558406621666,Tablet,5G,Urban
-6559328918245503883,Tablet,5G,Urban
-3447739434262537350,PC,Wi-Fi,Suburban
-321394306501737594,Tablet,4G,Urban
-3163841842972974389,PC,5G,Suburban
-6281111179889815198,PC,5G,Rural
877218003196951620,Tablet,Wi-Fi,Urban
-5760637356123132600,PC,5G,Urban
6292069892084058483,PC,5G,Rural
-8918205107900577354,Smartphone,4G,Urban
-2504570902921773880,PC,5G,Urban
-1585585637383731115,Tablet,5G,Rural
4917362920457719560,Smartphone,5G,Suburban
-4602038821137828629,Smartphone,Wi-Fi,Jeux
-6538318456312053002,PC,Wi-Fi,Rural
-6801405845274547551,Smartphone,Wi-Fi,Suburban
-5939075975223254262,Smartphone,4G,Suburban
3617089994615645036,Smartphone,Wi-Fi,Urban
4549783476732827573,Tablet,4G,Suburban
-4040308004994749146,PC,4G,Suburban
7566888429886059189,Smartphone,Wi-Fi,Urban
-2114509913296153167,Tablet,5G,Streaming
4622598806374683234,Smartphone,5G,Rural
-4591564040551416438,PC,4G,Suburban
-4146880820897063790,Tablet,Wi-Fi,Rural
2211206105850519604,PC,4G,Rural
-1413596003319213147,PC,5G,Urban
-7578266319101710446,PC,Wi-Fi,Suburban
568372812097371094,Tablet,4G,Urban
1160514608393193330,Smartphone,Wi-Fi,Suburban
2426036705000040865,device-123,5G,Suburban
-8103289151002877952,device-123,4G,Urban
1160514608393193330,Tablet,5G,Suburban
-1529459920814511840,PC,4G,Rural
9099555279919431350,Smartphone,5G,Suburban
-3889722061728357211,,Wi-Fi,
6027938180522912974,PC,4G,Urban
3469986834775932419,Smartphone,4G,Rural
6801360620934220616,PC,Wi-Fi,Rural
-2406860030191287447,Tablet,Wi-Fi,Suburban
2971766563635027172,Tablet,5G,Urban
-7066232398002574087,Smartphone,4G,Urban
2626279933531193493,Tablet,Wi-Fi,Urban
-6764319490490367535,Smartphone,Wi-Fi,Suburban
4024294075022800978,Tablet,Wi-Fi,Suburban
-4341347186290223808,PC,5G,Suburban
2513866134548502946,PC,4G,Rural
3694724571625637306,Tablet,5G,Rural
9089375827477117991,Tablet,4G,Urban
291377836315219763,Smartphone,5G,Rural
4153575594015905076,PC,4G,Suburban
-1332301492814782334,Tablet,5G,Urban
-742446700677114055,device-123,5G,Rural
-2064575264151513457,Smartphone,5G,Suburban
-8135120947234044994,PC,Wi-Fi,Suburban
-8175679687592938608,PC,Wi-Fi,Rural
-1055164500498508741,PC,5G,Urban
-4254343819041052443,Smartphone,Wi-Fi,Rural
1160514608393193330,Medios sociales,Wi-Fi,Suburban
7385075662531895358,Tablet,Wi-Fi,Suburban
8039565435161382985,Smartphone,5G,Rural
321064213717910495,PC,4G,Suburban
-9134727937195821901,Tablet,5G,Urban
291377836315219763,Tablet,4G,Suburban
-2291040507397706674,Smartphone,Wi-Fi,Suburban
4309563845010785758,Smartphone,5G,Rural
